function, time (s), memory (MB), number of sequences, length
crop_ends, 12.10528427362442, 258.3984375, 2589, 1113
crop_ends, 0.36210453510284424, 3.80859375, 774, 107
crop_ends, 1.369320034980774, 23.4609375, 1183, 356
crop_ends, 3.3117016553878784, 64.4296875, 2195, 398
crop_ends, 25.157967686653137, 643.2978515625, 2489, 2986
crop_ends, 11.6761634349823, 284.2568359375, 3127, 1027
crop_ends, 1.4973651766777039, 31.0341796875, 1086, 399
crop_ends, 0.17753583192825317, 0.5390625, 499, 110
crop_ends, 4.557995676994324, 106.4287109375, 1379, 899
crop_ends, 49.78722542524338, 1491.4912109375, 6288, 2432
crop_ends, 35.932961165905, 952.705078125, 4358, 2378
crop_ends, 19.28454351425171, 359.7099609375, 7367, 640
crop_ends, 8.04052448272705, 200.3154296875, 3348, 701
crop_ends, 18.0554957985878, 464.837890625, 5732, 901
crop_ends, 4.528113484382629, 100.6279296875, 837, 1383
