function, time (s), memory (MB), number of sequences, length
divergent, 45.14207082986832, 11.162109375, 2589, 1113
divergent, 1.8107106685638428, 0.3603515625, 774, 107
divergent, 8.200589656829834, 1.5908203125, 1183, 356
divergent, 20.60809177160263, 3.6845703125, 2195, 398
divergent, 89.15250754356384, 14.228515625, 2489, 2986
divergent, 116.7035521864891, 12.27734375, 3127, 1027
divergent, 8.602099895477295, 1.6240234375, 1086, 399
divergent, 0.6788593530654907, 0.0, 499, 110
divergent, 27.997426509857178, 4.955078125, 1379, 899
divergent, 361.5803265571594, 58.3359375, 6288, 2432
divergent, 384.52951633930206, 39.486328125, 4358, 2378
divergent, 293.8476673960686, 18.1083984375, 7367, 640
divergent, 67.62476342916489, 9.087890625, 3348, 701
divergent, 265.58813095092773, 19.6455078125, 5732, 901
divergent, 13.701903581619263, 4.44921875, 837, 1383
